kirigami-addons 1.13.1-1
kitemmodels 6.28.0-1
kitemviews 6.28.0-1
kitty 0.48.2-1
kitty-shell-integration 0.48.2-1
kitty-terminfo 0.48.2-1
kjobwidgets 6.28.0-1
kmenuedit 6.7.4-1
kmod 34.2-1
knewstuff 6.28.0-1
knighttime 6.7.4-1
knotifications 6.28.0-1
knotifyconfig 6.28.0-1
konsole 26.04.3-1
kpackage 6.28.0-1
kparts 6.28.0-1
kpipewire 6.7.4-5
kpmcore 26.04.3-1
kpty 6.28.0-1
kquickcharts 6.28.0-1
kquickimageeditor 0.6.2.1-2
krb5 1.22.2-1
krunner 6.28.0-1
kscreen 6.7.4-1
kscreenlocker 6.7.4-1
kservice 6.28.0-1
ksshaskpass 6.7.4-1
kstatusnotifieritem 6.28.0-1
ksvg 6.28.0-1
ksystemstats 6.7.4-1
ktexteditor 6.28.0-1
ktextwidgets 6.28.0-1
kunitconversion 6.28.0-1
kuserfeedback 6.28.0-1
kvantum 1.1.8-1
kvantum-qt5 1.1.8-1
kwallet 6.28.0-1
kwallet-pam 6.7.4-1
kwalletmanager 26.04.3-1
kwayland 6.7.4-1
kwayland-integration 6.7.4-1
kwayland5 5.116.0-2
kwidgetsaddons 6.28.0-1
kwin 6.7.4-5
kwin-effect-rounded-corners-git 0.9.0.r16.g08dee25-1.1
kwin-effects-better-blur-dx 2.5.1-1.6
kwindowsystem 6.28.0-1
kwindowsystem5 5.116.0-2
kxmlgui 6.28.0-1
l-smash 2.14.5-4
lame 4.0-1
lapack 3.12.1-2
layer-shell-qt 6.7.4-1
lcms2 2.19.1-1
ldb 2:4.24.6-1
leancrypto 1.8.0-1
leptonica 1.87.0-1
less 1:704-1
lhasa 0.5.0-1
lib32-alsa-lib 1.2.16.1-1
lib32-brotli 1.2.0-2
lib32-bzip2 1.0.8-4
lib32-curl 8.21.0-1
lib32-dbus 1.16.2-1
lib32-e2fsprogs 1.47.4-1
lib32-expat 2.8.3-1
lib32-gcc-libs 16.2.1+r23+gd564253eb6c8-1
lib32-glib2 2.88.3-1
lib32-glibc 2.44+r24+g16be1518495f-1
lib32-gmp 6.3.0-2
lib32-gnutls 3.8.13-3
lib32-icu 78.3-1
lib32-json-c 0.19-1
lib32-keyutils 1.6.3-4
lib32-krb5 1.22.2-1
lib32-libdisplay-info 0.3.0-1
lib32-libdrm 2.4.134-1
lib32-libelf 0.196-1
lib32-libffi 3.8.0-1
lib32-libgcrypt 1.12.2-1
lib32-libglvnd 1.7.0-1
lib32-libgpg-error 1.61-1
lib32-libidn2 2.3.8-1
lib32-libldap 2.6.13-1
lib32-libnghttp2 1.70.0-1
lib32-libnghttp3 1.18.0-1
lib32-libngtcp2 1.25.0-1
lib32-libpciaccess 0.19-1
lib32-libpipewire 1:1.6.8-1
lib32-libpng 1.6.58-2
lib32-libpsl 0.21.5-1
lib32-libssh2 1.11.1-5
lib32-libtasn1 4.21.0-1
lib32-libunistring 1.4.2-1
lib32-libva 2.24.1-1
lib32-libva-intel-driver 2.4.5-1
lib32-libx11 1.8.13-1
lib32-libxau 1.0.12-1
lib32-libxcb 1.17.0-1
lib32-libxcrypt 4.5.2-1
lib32-libxdmcp 1.1.5-1
lib32-libxext 1.3.7-1
lib32-libxfixes 6.0.2-1
lib32-libxml2 2.15.3-1
lib32-libxshmfence 1.3.3-1
lib32-libxxf86vm 1.1.7-1
lib32-llvm-libs 1:22.1.8-1
lib32-lm_sensors 1:3.6.2-2
lib32-mesa 1:26.1.7-1
lib32-ncurses 6.6-2
lib32-nettle 4.0-2
lib32-nvidia-utils 610.57.04-1
lib32-opencl-nvidia 610.57.04-1
lib32-openssl 1:3.6.3-1
lib32-p11-kit 0.26.5-1
lib32-pcre2 10.47-1
lib32-pipewire 1:1.6.8-1
lib32-pipewire-jack 1:1.6.8-1
lib32-spirv-tools 1:1.4.357.0-1
lib32-systemd 261.2-1
lib32-util-linux 2.42.2-1
lib32-vulkan-icd-loader 1.4.357.0-1
lib32-vulkan-intel 1:26.1.7-1
lib32-vulkan-mesa-implicit-layers 1:26.1.7-1
lib32-vulkan-mesa-layers 1:26.1.7-1
lib32-vulkan-radeon 1:26.1.7-1
lib32-wayland 1.26.0-1
lib32-xcb-util-keysyms 0.4.1-2
lib32-xz 5.8.3-1
lib32-zlib 1.3.2-1
lib32-zstd 1.5.7-2
libabw 0.1.4-1
libaccounts-glib 1.27-3
libaccounts-qt 1.17-2
libadwaita 1:1.9.3-1
libaemu 0.1.2-5
libaio 0.3.113-4
libappindicator 12.10.1-1
libarchive 3.8.9-1
libasan 16.2.1+r23+gd564253eb6c8-1
libass 0.17.5-1
libassuan 3.0.0-1
libasyncns 1:0.8+r3+g68cd5af-3
libatasmart 0.19-8
libatomic 16.2.1+r23+gd564253eb6c8-1
libatomic_ops 7.8.2-2
libavc1394 0.5.4-7
libavif 1.4.2-1
libavtp 0.2.0-3
libayatana-appindicator 0.6.0-1
libayatana-indicator 0.9.5-1
libb2 0.98.1-3
libblake3 1.8.4-1
libblockdev 3.5.0-2
libblockdev-crypto 3.5.0-2
libblockdev-fs 3.5.0-2
libblockdev-loop 3.5.0-2
libblockdev-mdraid 3.5.0-2
libblockdev-nvme 3.5.0-2
libblockdev-part 3.5.0-2
libblockdev-smart 3.5.0-2
libblockdev-swap 3.5.0-2
libbluray 1.4.1-1
libbpf 1.7.0-1
libbs2b 3.1.0-10
libbsd 0.12.2-2
libburn 1.5.8-1
libbytesize 2.12-3
libcaca 0.99.beta20-7
libcacard 2.8.1-1
libcanberra 1:0.30+r2+gc0620e4-6
libcap 2.78-1
libcap-ng 0.9.3-1
libcbor 0.14.0-1
libcdio 2.3.0-1
libcdio-paranoia 10.2+2.0.2-2
libcdr 0.1.9-1
libcloudproviders 0.4.0-1
libcmis 0.6.3-1
libcolord 1.4.8-1
libcups 2:2.4.19-1
libcurl-gnutls 8.21.0-1
libdaemon 0.14-6
libdatrie 0.2.14-1
libdbusmenu-glib 18.10.20180917-1
libdbusmenu-gtk3 18.10.20180917-1
libdc1394 2.2.7-2
libdca 0.0.7-3
libde265 1.1.1-1
libdecor 0.2.5-1
libdeflate 1.25-1
libdisplay-info 0.3.0-1
libdmtx 0.7.8-1
libdovi 3.4.0-1
libdrm 2.4.134-1
libdv 1.0.0-12
libdvdcss 1.6.0-1
libdvdnav 7.0.0-1
libdvdread 7.1.1-1
libe-book 0.1.4-1
libebml 1.4.5-3
libebur128 1.2.6-2
libedit 20260512_3.1-1
libei 1.6.0-1
libelf 0.196-1
libepoxy 1.5.10-3
libepubgen 0.1.1-6
libetonyek 0.1.13-2
libev 4.33-5
libevdev 1.13.6-1
libevent 2.1.13-2
libexttextcat 3.4.8-1
libfdk-aac 2.0.3-2
libffi 3.8.0-1
libfilezilla 1:0.56.1-1
libfontenc 1.1.9-1
libfprint 1.94.100-1
libfreeaptx 0.2.2-1
libfreehand 0.1.3-1
libftdi 1.5-10
libfyaml 0.9.6-3
libgcc 16.2.1+r23+gd564253eb6c8-1
libgcrypt 1.12.2-1
libgfortran 16.2.1+r23+gd564253eb6c8-1
libgirepository 1.86.0-2
libgit2 1:1.9.7-1
libglvnd 1.7.0-3
libgme 0.6.5-1
libgomp 16.2.1+r23+gd564253eb6c8-1
libgovirt 2:0.3.11-1
libgpg-error 1.61-1
libgudev 238-3
libgusb 0.4.9-2
libhandy 1.8.3-2
libheif 1.23.1-4
libhwasan 16.2.1+r23+gd564253eb6c8-1
libice 1.1.2-1
libidn 1.44-1
libidn2 2.3.8-1
libiec61883 1.2.0-9
libimagequant 4.4.1-2
libimobiledevice 1.4.0-2
libimobiledevice-glue 1.3.2-1
libinih 62-2
libinput 1.31.3-1
libinput-gestures 2.81-1.1
libinput-gestures-qt 0.4-2.1
libinput-tools 1.31.3-1
libisl 0.28-1
libisoburn 1.5.8.2-1
libisofs 1.5.8.2-1
libixion 0.20.0-7
libjpeg-turbo 3.2.0-2
libjxl 0.12.0-1
libkdcraw 26.04.3-1
libkexiv2 26.04.3-1
libksba 1.8.0-1
libkscreen 6.7.4-1
libksysguard 6.7.4-1
liblangtag 0.6.8-1
liblc3 1.1.3-2
libldac 2.0.2.6-1
libldap 2.6.13-1
liblqr 0.4.3-1
liblrdf 0.6.1-5
liblsan 16.2.1+r23+gd564253eb6c8-1
libltc 1.3.2-2
libluv 1.52.1-1
libmakepkg-dropins 20-2
libmalcontent 0.14.0-4
libmanette 0.2.13-2
libmatroska 1.7.2-2
libmaxminddb 1.13.3-1
libmbim 1.34.0-1
libmd 1.2.0-1
libmicrodns 0.2.0-2
libmm-glib 1.24.2-1
libmng 2.0.3-4
libmnl 1.0.5-2
libmodplug 0.8.9.0-7
libmpc 1.4.1-1
libmpcdec 1:0.1+r475-6
libmpeg2 0.5.1-11
libmspack 1:1.11-2
libmspub 0.1.5-1
libmtp 1.1.23-1
libmwaw 0.3.23-1
libmysofa 1.3.4-1
libmythes 1:1.2.6-1
libnbd 1.24.3-1
libndp 1.9-1
libnetfilter_conntrack 1.1.1-1
libnewt 0.52.25-2
libnfnetlink 1.0.2-2
libnfs 6.0.2-5
libnftnl 1.3.1-1
libnghttp2 1.70.0-1
libnghttp3 1.18.0-1
libngtcp2 1.25.0-1
libnice 0.1.23-1
libnl 3.12.0-1
libnm 1.58.0-1
libnma 1.10.6-3
libnma-common 1.10.6-3
libnma-gtk4 1.10.6-3
libnotify 0.8.8-1
libnsl 2.0.1-2
libnss_nis 3.4-1
libntfs-3g 2026.7.7-1
libnumbertext 1.0.11-3
libnvme 1.16.2-2
libobjc 16.2.1+r23+gd564253eb6c8-1
libodfgen 0.1.8-5
libogg 1.3.6-1
libopenmpt 0.8.8-1
liborcus 0.21.0-6
libosinfo 1.12.0-3
libp11-kit 0.26.5-1
libpagemaker 0.0.4-5
libpamac-aur 11.7.4-2
libpaper 2.2.8-1
libpcap 1.10.6-1
libpciaccess 0.19-1
libpgm 5.3.128-4
libpipeline 1.5.8-1
libpipewire 1:1.6.8-1
libplacebo 7.360.1-6
libplasma 6.7.4-1
libplist 2.7.0-3
libpng 1.6.58-2
libproxy 0.5.12-1
libpsl 0.21.5-2
libpulse 17.0+r98+gb096704c0-1
libqaccessibilityclient-qt6 0.6.0-4
libqalculate 5.12.0-1
libqmi 1.38.0-1
libqrtr-glib 1.4.0-1
libquadmath 16.2.1+r23+gd564253eb6c8-1
libqxp 0.0.3-1
libraqm 0.11.0-1
libraw 0.22.2-1
libraw1394 2.1.2-4
libreoffice-fresh 26.2.5-1
librest 0.10.2-1
librevenge 0.0.6-1
librsvg 2:2.62.3-1
librsync 1:2.3.4-2
libsamplerate 0.2.2-3
libsasl 2.1.28-5
libseccomp 2.6.0-1
libsecret 0.21.7-1
libshout 1:2.4.6-5
libsixel 1.10.5-1
libslirp 4.9.3-1
libsm 1.2.6-1
libsndfile 1.2.2-4
libsodium 1.0.22-1
libsonic 0.2.0-2
libsoup3 3.6.6-2
libsoxr 0.1.3-5
libspectre 0.2.12-2
libsrtp 1:2.8.0-1
libssc 0.4.4-1
libssh 0.12.2-1
libssh2 1.11.1-7
libstaroffice 0.0.8-1
libstdc++ 16.2.1+r23+gd564253eb6c8-1
libstemmer 3.1.1-1
libsysprof-capture 50.0-6
libtasn1 4.21.0-1
libtatsu 1.0.5-1
libteam 1.32-3
libthai 0.1.30-1
libtheora 1.2.0-1
libtiff 4.7.2-1
libtirpc 1.3.7-1
libtommath 1.3.0-2
libtool 2.6.2-5
libtraceevent 1:1.9.0-1
libtracefs 1.8.3-1
libtsan 16.2.1+r23+gd564253eb6c8-1
libubsan 16.2.1+r23+gd564253eb6c8-1
libunibreak 7.0-1
libunistring 1.4.2-1
libunwind 1.8.2-1
liburcu 0.15.6-1
liburing 2.15-1
libusb 1.0.30-1
libusb-compat 0.1.9-1
libusbmuxd 2.1.1-2
libutempter 1.2.3-1
libutf8proc 2.11.3-1
libuv 1.52.1-1
libva 2.24.1-1
libva-intel-driver 2.4.5-1
libvdpau 1.5-4
libverto 0.3.2-6
libvirt 1:12.6.0-1
libvirt-glib 5.0.0-3
libvirt-python 1:12.6.0-1
libvisio 0.1.11-1
libvlc 3.0.23_2-10
libvorbis 1.3.7-4
libvpl 2.17.0-1
libvpx 1.16.0-3
libvterm 0.3.3-2
libwacom 2.19.1-1
libwbclient 2:4.24.6-1
libwebp 1.6.0-2
libwireplumber 0.5.15-1
libwpd 0.10.3-6
libwps 0.4.14-4
libx11 1.8.13-1
libx86emu 3.7-2
libxau 1.0.12-1
libxaw 1.0.16-2
libxcb 1.17.0-1
libxcomposite 0.4.7-1
libxcrypt 4.5.2-1
libxcursor 1.2.3-1
libxcvt 0.1.3-1
libxdamage 1.1.7-1
libxdmcp 1.1.5-2
libxdp 1.6.3-2
libxext 1.3.7-1
libxfixes 6.0.2-1
libxfont2 2.0.9-1
libxft 2.3.9-1
libxi 1.8.3-1
libxinerama 1.1.6-1
libxkbcommon 1.13.2-1
libxkbcommon-x11 1.13.2-1
libxkbfile 1.2.0-1
libxml2 2.15.3-1
libxmlb 0.3.29-1
libxmu 1.3.1-1
libxpm 3.5.19-1
libxpresent 1.0.2-1
libxrandr 1.5.5-1
libxrender 0.9.12-1
libxshmfence 1.3.3-1
libxslt 1.1.45-2
libxss 1.2.5-1
libxt 1.3.1-1
libxtst 1.2.5-1
libxv 1.0.13-1
libxxf86vm 1.1.7-1
libyaml 0.2.5-3
libyuv r2426+464c51a03-1
libzip 1.11.4-1
libzmf 0.0.2-20
licenses 20240728-1
lilv 0.28.0-1
linutil-bin 2026.05.21-1
linux-api-headers 7.2-1
linux-cachyos-bore 7.1.8-1
linux-cachyos-bore-headers 7.1.8-1
linux-firmware 20260810-2
linux-firmware-amdgpu 20260810-2
linux-firmware-atheros 20260810-2
linux-firmware-broadcom 20260810-2
linux-firmware-cirrus 20260810-2
linux-firmware-intel 20260810-2
linux-firmware-mediatek 20260810-2
linux-firmware-nvidia 20260810-2
linux-firmware-other 20260810-2
linux-firmware-radeon 20260810-2
linux-firmware-realtek 20260810-2
linux-firmware-whence 20260810-2
linux-lts 6.18.44-1
linux-lts-headers 6.18.44-1
linux-wifi-hotspot 4.7.2-3
linux-zen 7.1.8.zen1-3
linux-zen-headers 7.1.8.zen1-3
linuxconsole 1.8.1-3
lirc 1:0.10.2-6
litehtml 0.10-1
llhttp 9.3.1-1
llvm-libs 22.1.8-2
lm_sensors 1:3.6.2-1
lmdb 0.9.35-1
logrotate 3.22.0-1
lpsolve 5.5.2.14-1
lrzip 0.660-1
lsb-release 2.0.r55.a25a4fc-1
lsof 4.99.7-1
lsparu 1.0.0-1
lua 5.5.1-1
lua51-lpeg 1.1.0-5
lua54 5.4.8-6
luajit 2.1.1785763465+1edc3e5-1
lv2 1.18.10-2
lvm2 2.03.42-1
lynis 3.1.7-1
lz4 1:1.10.0-2
lzip 1.26-1
lzo 2.10-5
lzop 1.04-4
m4 1.4.21-2
mailcap 2.1.54-2
make 4.4.1-3
man-db 2.13.1-2
man-pages 6.18-1
md4c 0.5.3-1
mdadm 4.6-2
media-player-info 26-1
meld 3.24.0-1
memtest86+ 7.20-2
mesa 1:26.1.7-1
mesa-utils 9.0.0-7
milou 6.7.4-1
minizip 1:1.3.2-3
mjpegtools 2.2.1-4
mobile-broadband-provider-info 20251101-1
modemmanager 1.24.2-1
modemmanager-qt 6.28.0-1
mpdecimal 4.0.1-3
mpfr 4.2.2-1
mpg123 1.33.7-1
mpv 1:0.41.0-4
msgpack-c 7.0.1-1
mtdev 1.1.7-1
mtools 1:4.0.49-1
mujs 1.3.9-1
mullvad-vpn 2026.3-1
mullvad-vpn-daemon 2026.3-1
nano 9.2-1
ncurses 6.6-2
ndctl 85-1
neohtop 1.2.0-1
